,name   ,alt_name ,ra         ,dec        ,vmag ,multiple,class                                              ,
,HR 3389,         ,08 33 38.30,-38 50 56.0, 5.96,        ,                                         STAR B5III,
,HR 6382,         ,17 12 16.51,-38 49 19.9, 6.30,        ,                                         STAR K1III,
,HR 2875,         ,07 29 05.71,-38 48 43.9, 5.43,        ,                                           STAR B5V,
,HR 5456,         ,14 38 19.61,-38 47 39.1, 6.02,        ,                                         STAR K3III,
,HR 5636,         ,15 10 07.49,-38 47 33.0, 5.98,        ,                                         STAR G8III,
,HR 2955,         ,07 38 32.59,-38 46 52.0, 6.19,        ,                                         STAR G8III,
,HR 5724,         ,15 25 20.21,-38 44 01.0, 4.60,W       ,                                          STAR A0IV,
,HR 6953,Kap2CrA  ,18 33 23.11,-38 43 34.0, 5.65,W       ,                                           STAR B9V,
,HR 3535,         ,08 52 48.00,-38 43 27.1, 5.82,        ,                                         STAR M0III,
,HR 6952,Kap1CrA  ,18 33 23.30,-38 43 13.1, 6.32,W       ,                                         STAR A0III,
,HR 6862,         ,18 22 18.60,-38 39 24.8, 5.10,        ,                                         STAR K4III,
,HR 6546,         ,17 36 32.81,-38 38 07.1, 4.29,        ,                                         STAR K0III,
,HR 8048,Zet Mic  ,21 02 58.01,-38 37 54.1, 5.30,        ,                                           STAR F3V,
,HR 2407,         ,06 33 10.30,-38 37 31.1, 6.44,        ,                                         STAR G8III,
,HR 5751,         ,15 32 04.39,-38 37 23.2, 6.25,        ,                                           STAR A7V,
,HR 3667,         ,09 13 25.90,-38 36 59.0, 6.31,        ,                                           STAR A0V,
,HR 5967,         ,16 03 24.19,-38 36 09.0, 4.89,        ,                                          STAR B6IV,
,HR 554 ,         ,01 53 23.21,-38 35 40.9, 6.10,        ,                                          STAR K1II,
,HR 6398,         ,17 15 35.90,-38 35 38.0, 5.96,W       ,                                           STAR F7V,
,HR 3682,         ,09 15 36.70,-38 34 12.0, 4.94,        ,                                         STAR K0III,
,HR 8299,         ,21 44 29.50,-38 33 09.0, 6.30,        ,                                         STAR G5III,
,HR 2981,         ,07 41 15.79,-38 32 01.0, 5.42,        ,                                           STAR B5V,
,HR 8046,         ,21 02 27.19,-38 31 50.2, 5.94,        ,                                          STAR K0IV,
,HR 2986,         ,07 41 58.01,-38 31 44.0, 6.54,        ,                                           STAR B7V,
,HR 2055,         ,05 52 47.71,-38 31 32.9, 6.70,W       ,                                         STAR K1III,
,HR 6503,         ,17 29 25.70,-38 31 00.1, 6.39,W       ,                                           STAR A2V,
,HR 1877,         ,05 32 51.31,-38 30 47.2, 5.48,        ,                                         STAR K2III,
,HR 3035,         ,07 47 25.01,-38 30 40.0, 5.08,W       ,                                         STAR B2III,
,HR 185 ,Lam1Scl  ,00 42 42.91,-38 27 47.9, 6.06,W       ,                                           STAR A0V,
,HR 863 ,Psi For  ,02 53 34.39,-38 26 12.8, 5.92,        ,                                          STAR F6IV,
,HR 195 ,Lam2Scl  ,00 44 12.10,-38 25 18.1, 5.90,        ,                                         STAR K1III,
,HR 535 ,         ,01 49 48.79,-38 24 14.0, 6.37,W       ,                                           STAR F8V,
,HR 3766,         ,09 29 16.30,-38 24 14.0, 6.19,        ,                                           STAR A7V,
,HR 5092,         ,13 32 05.30,-38 23 57.1, 6.16,        ,                                         STAR K1III,
,HR 2482,         ,06 42 16.39,-38 23 55.0, 6.29,W       ,                                           STAR A3V,
,HR 5948,Eta Lup  ,16 00 07.30,-38 23 48.8, 3.41,W       ,                                          STAR B2IV,
,HR 8379,         ,21 59 17.90,-38 23 43.1, 5.50,        ,                                         STAR K0III,
,HR 805 ,         ,02 42 06.60,-38 23 02.0, 6.01,        ,                                         STAR G8III,
,HR 2685,         ,07 06 02.30,-38 22 58.1, 6.11,        ,                                          STAR G0II,
,HR 3388,         ,08 33 19.90,-38 22 16.0, 6.49,        ,                                           STAR B2V,
,HR 7021,Lam CrA  ,18 43 46.90,-38 19 25.0, 5.13,W       ,                                           STAR A2V,
,HR 2769,         ,07 16 31.80,-38 19 08.0, 5.80,        ,                                           STAR B4V,
,HR 2961,         ,07 39 27.41,-38 18 29.9, 4.84,        ,                                           STAR B2V,
,HR 3716,         ,09 20 29.59,-37 34 53.0, 6.05,        ,                                         STAR K3III,
,HR 5508,         ,14 47 05.11,-38 17 26.9, 5.94,        ,                                         STAR K3III,
,HR 3296,         ,08 23 17.21,-38 17 08.9, 6.32,        ,                                         STAR M1III,
,HR 2964,         ,07 39 47.81,-38 15 38.9, 5.76,        ,                                           STAR B2V,
,HR 7197,         ,19 03 17.71,-38 15 11.9, 5.74,        ,                                         STAR F0III,
,HR 8671,         ,22 47 47.11,-38 13 18.8, 6.71,        ,                                          STAR F4IV,
,HR 5697,         ,15 21 30.10,-38 13 09.1, 6.48,W       ,                                            STAR A0,
,HR 3001,         ,07 43 42.89,-38 12 06.8, 6.40,        ,                                           STAR B9V,
,HR 893 ,         ,02 57 32.69,-38 11 28.0, 6.41,        ,                                           STAR A0V,
,HR 5722,         ,15 25 06.60,-38 10 09.8, 7.03,W       ,                                           STAR A2V,
,HR 2465,         ,06 39 56.90,-38 09 32.0, 6.58,        ,                                         STAR K1III,
,HR 6210,         ,16 43 47.59,-38 09 24.1, 6.05,W       ,                                          STAR B9II,
,HR 6327,         ,17 03 50.81,-38 09 07.9, 5.91,        ,                                          STAR F4IV,
,HR 2444,         ,06 37 01.90,-38 08 48.1, 6.04,W       ,                                         STAR K0III,
,HR 2963,         ,07 39 43.80,-38 08 21.8, 5.73,W       ,                                           STAR B5V,
,HR 494 ,         ,01 41 27.31,-38 07 59.2, 6.17,        ,                                           STAR F2V,
,HR 6613,         ,17 47 07.30,-38 06 42.1, 6.43,W       ,                                           STAR B9V,
,HR 7853,         ,20 34 55.51,-38 05 22.9, 6.44,        ,                                         STAR A8III,
,HR 6557,         ,17 37 26.81,-38 03 56.2, 6.26,        ,                                           STAR G2I,
,HR 5585,         ,15 01 13.01,-38 03 29.9, 5.89,        ,                                         STAR K2III,
,HR 7605,         ,19 57 41.30,-38 03 29.9, 6.55,        ,                                           STAR F4V,
,HR 6247,Mu 1Sco  ,16 51 52.20,-38 02 51.0, 3.08,        ,                                           STAR B1V,
,HR 6252,Mu 2Sco  ,16 52 20.11,-38 01 03.0, 3.57,        ,                                          STAR B2IV,
,HR 4372,         ,11 17 11.81,-38 00 51.8, 6.27,        ,                                           STAR A3V,
,HR 2945,         ,07 37 45.19,-38 00 38.2, 6.38,        ,                                         STAR K4III,
,HR 4086,         ,10 23 29.30,-38 00 36.0, 5.33,        ,                                           STAR A8V,
,HR 780 ,         ,02 38 24.79,-37 59 26.2, 6.49,        ,                                          STAR G0IV,
,HR 3017,         ,07 45 15.31,-37 58 07.0, 3.61,        ,                                           STAR K2I,
,HR 3011,         ,07 44 34.20,-37 56 35.2, 5.88,        ,                                           STAR B7V,
,HR 7652,         ,20 03 33.50,-37 56 26.9, 4.77,        ,                                         STAR K5III,
,HR 3022,         ,07 46 10.39,-37 56 02.0, 5.88,        ,                                           STAR B7V,
,HR 2518,         ,06 47 21.41,-37 55 46.9, 5.26,W       ,                                          STAR B9IV,
,HR 3233,         ,08 12 51.50,-37 55 27.8, 6.43,        ,                                           STAR A3V,
,HR 5864,         ,15 47 28.99,-37 54 59.0, 6.01,W       ,                                           STAR G6V,
,HR 3892,         ,09 49 28.10,-37 11 11.0, 5.97,        ,                                         STAR K1III,
,HR 7971,         ,20 51 00.70,-37 54 47.9, 5.52,        ,                                          STAR K3II,
,HR 7254,Alp CrA  ,19 09 28.30,-37 54 15.8, 4.11,        ,                                           STAR A2V,
,HR 2353,         ,06 27 07.49,-37 53 44.2, 6.48,W       ,                                           STAR F3V,
,HR 3016,         ,07 45 04.61,-37 53 16.1, 6.54,        ,                                          STAR B3IV,
,HR 5367,Psi Cen  ,14 20 33.41,-37 53 07.1, 4.05,W       ,                                          STAR A0IV,
,HR 5579,         ,14 59 13.90,-37 52 53.0, 6.47,        ,                                           STAR B8V,
,HR 4631,         ,12 10 33.79,-37 52 13.1, 6.06,        ,                                           STAR A5V,
,HR 5975,         ,16 04 36.70,-37 51 47.2, 5.90,W       ,                                          STAR F3IV,
,HR 359 ,         ,01 12 45.41,-37 51 23.0, 5.92,        ,                                         STAR F0III,
,HR 8200,         ,21 26 22.90,-37 49 45.8, 5.63,        ,                                         STAR K2III,
,HR 8937,Bet Scl  ,23 32 58.30,-37 49 05.9, 4.37,        ,                                          STAR B9IV,
,HR 2869,         ,07 28 22.80,-37 48 37.1, 6.58,        ,                                          STAR A1IV,
,HR 7232,         ,19 06 52.51,-37 48 37.1, 6.16,        ,                                          STAR G5IV,
,HR 6450,         ,17 22 39.41,-37 48 18.0, 6.41,W       ,                                           STAR B4I,
,HR 5543,         ,14 52 51.10,-37 48 11.9, 5.03,        ,                                         STAR B7III,
,HR 4979,         ,13 12 03.19,-37 48 11.2, 4.85,        ,                                           STAR G3V,
,HR 5471,         ,14 41 57.60,-37 47 37.0, 4.00,        ,                                           STAR B3V,
,HR 2510,         ,06 46 12.10,-37 46 32.2, 6.21,        ,                                           STAR B4V,
,HR 3735,         ,09 23 44.81,-37 45 25.9, 6.48,        ,                                            STAR A1,
,HR 4557,         ,11 54 25.80,-37 44 56.0, 6.46,W       ,                                           STAR F7V,
,HR 4411,         ,11 25 33.10,-37 44 52.1, 5.89,W       ,                                         STAR M3III,
,HR 8367,         ,21 57 02.21,-37 44 48.8, 6.18,        ,                                         STAR F1III,
,HR 2263,         ,06 17 01.20,-37 44 15.0, 5.53,        ,                                         STAR K1III,
,HR 7629,         ,20 00 15.91,-37 42 07.9, 5.95,W       ,                                         STAR G8III,
,HR 2399,         ,06 32 21.31,-37 41 48.1, 5.24,        ,                                         STAR G8III,
,HR 3195,         ,08 08 37.61,-37 40 53.0, 6.37,        ,                                           STAR B4V,
,HR 2053,         ,05 52 33.19,-37 37 52.0, 5.63,W       ,                                         STAR K1III,
,HR 1189,         ,03 48 35.40,-37 37 19.9, 5.40,W       ,                                           STAR A1V,
,HR 6298,         ,16 58 52.39,-37 37 16.0, 6.09,W       ,                                           STAR A3V,
,HR 1190,         ,03 48 35.90,-37 37 14.2, 4.73,W       ,                                           STAR B9V,
,HR 3399,         ,08 34 29.30,-37 36 41.0, 6.30,W       ,                                         STAR K5III,
,HR 3677,         ,09 14 57.19,-37 36 09.0, 5.86,        ,                                           STAR G0V,
,HR 7273,         ,19 12 09.79,-37 34 58.1, 6.57,        ,                                         STAR G2III,
,HR 2968,         ,07 39 58.01,-37 34 45.8, 6.00,        ,                                          STAR B6IV,
